"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,7.08333333333333,85.63,,,273700,0.403521643433602,2.58620689655172,0.0540409207161126,,0.146205804565714,0.0135569748310807,88.5
"State","Alabama",,"AL",,,,1.66666666666667,82.25,5.3425,2.3252,128000,0.313479623824451,3.39256865912763,0.0371484375,,0.142491150899182,0.0298780307213246,96
"State","Arkansas",,"AR",,,,4.375,83.92,3.9802,0.8322,123000,0.244498777506112,6.03448275862069,0.0352032520325203,,0.125862060982441,0.0328129584347728,96
"State","Arizona",,"AZ",,,,5.625,86.93,4.8094,0.7729,233400,0.430292598967298,6.72153635116598,0.0251285347043702,,0.114607560669292,0.024731637505791,64
"State","California",,"CA",,,,8.33333333333333,93.06,3.8654,1.1441,529900,0.645773979107312,8.76436781609195,0.036969239479147,,0.0670888493729657,0.0294008878595177,56
"State","Colorado",,"CO",,,,10,96.91,1.3552,0.2148,348400,0.635470826112074,7.7970297029703,0.0326349024110217,,0.0595696252272759,0.0139734907086978,55
"State","Connecticut",,"CT",,,,1.25,74.74,1.8083,0.762,246800,0.284437220642015,1.94134655101198,0.0222123176661264,,0.137546401620693,0.0704473142243093,98
"State","District of Columbia",,"DC",,,,4.58333333333333,97.68,1.8455,1.5138,548600,0.365898280278083,1.27376776813735,,,0.0964916091105223,0.0490696278511405,50
"State","Delaware",,"DE",,,,3.75,74.06,9.5708,4.9869,245900,2.3304203079484,14.4785847299814,0.0343798291988613,,0.11376036947831,0.0814372453346555,111.5
"State","Florida",,"FL",,,,2.29166666666667,83.98,,,217300,0.369515011547344,7.14990138067061,0.0199677864703176,,0.097996861141912,0.0627686229855814,85
"State","Georgia",,"GA",,,,3.125,83.98,,,162100,0.433705080545229,6.22542595019659,0.0339358420727947,,0.130029273861525,0.0371979569266924,75.5
"State","Hawaii",,"HI",,,,9.375,93.17,1.0686,0.1285,624200,0.385976198134448,6.68261835583661,0.0426193527715475,,0.0499947564417894,0.0603110366073859,75
"State","Iowa",,"IA",,,,7.5,92.31,1.8836,0.7616,131600,0.53475935828877,3.86740331491713,0.0357750759878419,,0.119888061914491,0.022408139212851,72.5
"State","Idaho",,"ID",,,,7.29166666666667,89.73,,,200300,0.350701402805611,9.27441352973268,0.0349425861208188,,0.110471494398297,0.0161430450687992,58.5
"State","Illinois",,"IL",,,,0.625,76.56,,,170700,0.293772032902468,2.52252252252252,0.0324897480960751,,0.161073960691899,0.0454702751143083,85
"State","Indiana",,"IN",,,,3.54166666666667,91.03,,,126000,0.478468899521531,5.26315789473684,0.0371269841269841,,0.130115493893571,0.0371913091503939,65
"State","Kansas",,"KS",,,,5.41666666666667,96.23,,,128400,0.15600624024961,3.6319612590799,0.0365031152647974,,0.110340386895015,0.0233969545089405,64.5
"State","Kentucky",,"KY",,,,6.25,90.14,0.1264,0.0707,138700,0.144404332129964,4.36418359668924,0.0321773612112473,,0.112977451872851,0.0265454801944312,68
"State","Massachusetts",,"MA",,,,1.875,92.77,10.3959,5.9731,386500,0.259403372243839,5.80344921981933,0.0304346701164295,,0.0712141855243262,0.0554536415542485,72
"State","Maryland",,"MD",,,,0.208333333333333,80.07,7.9907,1.9809,273500,0.219860754855258,2.0141738157404,0.0208153564899451,,0.145603328461852,0.0588089815846886,79.5
"State","Maine",,"ME",,,,2.5,50,,3.015,219700,1.15101289134438,9.85,0.0475329995448339,,0.138997770221727,0.0629508503958576,86
"State","Michigan",,"MI",,,,6.45833333333333,89.19,,,138700,0.653120464441219,6.69230769230769,0.0332011535688537,,0.114124684058082,0.0232872654562003,71
"State","Minnesota",,"MN",,,,6.875,87.18,4.9484,1.6534,213200,0.423928403203015,5.02463054187192,0.0359333958724202,,0.0797014593314542,0.0194913904832166,71
"State","Missouri",,"MO",,,,2.70833333333333,80.17,,,145500,0.761772853185596,4.15175375805297,0.0362611683848797,,0.138737321606422,0.0264092300031565,69
"State","Mississippi",,"MS",,,,8.95833333333333,100,,,120400,1.5177065767285,7.88530465949821,0.0583970099667774,,0.161539279964441,0.0400102202956752,94.5
"State","Montana",,"MT",,,,9.58333333333333,91.89,,,212200,1.28878281622912,7.17171717171717,0.0264703110273328,,0.101917441659648,0.0139561372840213,90
"State","North Carolina",,"NC",,,,3.95833333333333,85.92,4.536,1.6753,166900,0.360793746241732,6.57726692209451,0.0310904733373278,,0.0938058450055427,0.0347187381496467,78
"State","North Dakota",,"ND",,,,5,98,,,201500,0.149105367793241,-0.787789266371246,0.0264665012406948,,0.123013545682589,0.0146420537791306,91
"State","Nebraska",,"NE",,,,8.125,96.36,1.414,1.0159,157200,0.383141762452107,7.74503084304318,0.0360114503816793,,0.0947221817708786,0.0127875523495002,56
"State","New Hampshire",,"NH",,,,6.04166666666667,87.83,,,253600,0.276789244760775,6.28667225481978,0.0211317034700316,,0.0751410000220988,0.0298256708534646,92
"State","New Jersey",,"NJ",,,,0.416666666666667,80.66,6.0353,4.1468,312400,0.321130378933847,3.96006655574043,0.0202784891165173,,0.118575799852866,0.124321925248532,98
"State","New Mexico",,"NM",,,,2.08333333333333,80,,,182300,1.10926234054354,6.23543123543124,0.0249643444871093,,0.159180034355411,0.0512810388001616,94
"State","Nevada",,"NV",,,,2.91666666666667,82.43,6.3379,1.5408,261000,0.539291217257319,12.9381220250974,0.0502145593869732,,0.13528265056552,0.05724918138136,57.5
"State","New York",,"NY",,,,7.70833333333333,89.33,2.1376,0.2093,309100,0.324569944823109,10.2747056724938,0.0338692979618247,,0.0837900092772013,0.107092470173294,129
"State","Ohio",,"OH",,,,0.833333333333333,85.46,6.3283,4.0209,131000,0.383141762452107,4.88390712570056,0.0272900763358779,,0.115599421079046,0.0436249969983381,70
"State","Oklahoma",,"OK",,,,4.16666666666667,90.19,2.1191,0.6841,117000,-0.085397096498719,1.91637630662021,0.0255128205128206,,0.116891135277403,0.0379765622981948,94.5
"State","Oregon",,"OR",,,,7.91666666666667,97.09,4.4202,3.5537,320500,0.470219435736677,7.19063545150502,0.0441310452418098,,0.054465475766029,0.0338907964389414,71
"State","Pennsylvania",,"PA",,,,1.04166666666667,85.76,4.4219,2.5727,163400,0.245398773006135,4.1427660930529,0.0285250917992657,,0.100856384052536,0.0519607047610548,79
"State","Rhode Island",,"RI",,,,3.33333333333333,84.18,5.606,3.7875,268000,0.865637937523523,8.50202429149797,0.0418656716417911,,0.102242089046569,0.0588174340871222,76.5
"State","South Carolina",,"SC",,,,5.83333333333333,86.85,3.1545,1.0227,149300,0.742240215924426,4.9929676511955,0.0405291359678499,,0.0966878024559684,0.0469759551543829,75
"State","South Dakota",,"SD",,,,9.79166666666667,,,,180900,0.892359174567764,7.55053507728894,0.0374405749032616,,0.109982934811926,0.0117911210599148,67
"State","Tennessee",,"TN",,,,6.66666666666667,89.92,,,147100,0.27266530334015,7.45069393718042,0.0383956492182189,,0.101254035630074,0.0279839560446214,68
"State","Texas",,"TX",,,,8.54166666666667,97.09,,,175200,0.516351118760757,7.61670761670762,0.0262157534246574,,,,72
"State","Utah",,"UT",,,,8.75,90.59,,,264100,0.763067531476536,9.04211395540875,0.0374252177205603,,0.118357011659727,0.0146454419630948,63
"State","Virginia",,"VA",,,,1.45833333333333,83.09,4.301,2.6026,246300,0,2.28405315614618,0.0162444173771823,,0.117031343005657,0.0284778874245622,83
"State","Washington",,"WA",,,,9.16666666666667,96.14,3.9707,2.0805,355600,0.765089260413715,10.9862671660424,0.043529246344207,,0.0655523440829871,0.0268758088540453,57
"State","Wisconsin",,"WI",,,,5.20833333333333,89.95,2.1365,0.9433,170100,0.353982300884956,5.39033457249071,0.0276366843033509,,0.105980237641164,0.031557904969194,73
"State","West Virginia",,"WV",,,,4.79166666666667,87.04,,0.3122,104100,0.192492781520693,2.05882352941176,0.0369260326609029,,0.138235320261492,0.0257890856084965,99
