RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
26.0,Massachusetts,14,4041.0,4784.0,5772.0,6656.0,6395.0,6414.0,5117.0,5164.0,3692.0,4169.0,2788.0,2754.0,3716.0,3824.0,4684.0,5744.0,6785.0,6250.0,5345.0,5862.0,5813.0,4903.0,3254.0,3167.0,4624.0,5610.0,6122.0,7814.0,5021.0,5163.0,4630.0,4337.0,4049.0,4934.0,3234.0,3118.0,4239.0,4530.0,4742.0,6113.0,5385.0,5853.0,4142.0,4156.0,4279.0,3754.0,2778.0,2346.0,4255.0,4028.0,4251.0,7239.0,6442.0,7306.0,3383.0,5120.0,5620.0,5561.0,3952.0,3317.0,4310.0,5205.0,6955.0,7840.0,8377.0,8141.0,6137.0,6105.0,5416.0,5600.0,3998.0,3210.0,4257.0,5238.0,6555.0,8182.0,8026.0,7681.0,6283.0,6433.0,5067.0,6002.0,4006.0,3290.0,4313.0,4865.0,6473.0,9409.0,10051.0,8790.0,7719.0,4698.0,5294.0,6485.0,4463.0,3522.0,4822.0,5595.0,7004.0,9789.0,5623.0,8958.0,7452.0,6532.0,4960.0,6624.0,4800.0,3571.0,5315.0,5410.0,7417.0,10018.0,8308.0,8968.0,7148.0,6971.0,6894.0,
22.0,Indiana,15,5357.0,6405.0,6626.0,7621.0,8181.0,7548.0,7454.0,7440.0,5418.0,6708.0,4366.0,4722.0,5688.0,6129.0,6541.0,8149.0,8412.0,7708.0,7539.0,7662.0,7176.0,8247.0,4254.0,4556.0,6446.0,7066.0,7622.0,8905.0,6644.0,6425.0,6133.0,5865.0,5360.0,6502.0,4435.0,4285.0,5917.0,5859.0,6393.0,7424.0,6793.0,7425.0,6354.0,6095.0,6025.0,6795.0,4898.0,5202.0,6538.0,6361.0,7527.0,8046.0,7656.0,7790.0,6301.0,6896.0,5737.0,6184.0,5198.0,5166.0,5544.0,6401.0,7136.0,7185.0,7601.0,7695.0,6740.0,6781.0,6049.0,6671.0,6717.0,6516.0,7516.0,8587.0,9645.0,10376.0,11418.0,10200.0,8914.0,9065.0,6806.0,8656.0,5622.0,5471.0,7093.0,8096.0,8278.0,10690.0,11084.0,10436.0,10063.0,9152.0,7926.0,9407.0,6001.0,6481.0,8651.0,9395.0,10768.0,11889.0,10752.0,11483.0,10159.0,8859.0,7734.0,7992.0,7046.0,5660.0,9651.0,9229.0,11299.0,13053.0,9531.0,10758.0,8710.0,8926.0,8012.0,
8.0,Arizona,16,6951.0,7871.0,8630.0,8553.0,9011.0,8322.0,8480.0,8540.0,6248.0,7985.0,6906.0,7764.0,10630.0,11306.0,11657.0,13216.0,13078.0,10926.0,11029.0,11481.0,9982.0,11249.0,8467.0,9217.0,12792.0,13007.0,12282.0,12950.0,10131.0,10216.0,10204.0,9800.0,9362.0,11392.0,9694.0,10017.0,14127.0,13592.0,13410.0,13981.0,11833.0,12742.0,10961.0,10570.0,10169.0,10561.0,9164.0,10350.0,12605.0,12216.0,12612.0,12076.0,11334.0,12196.0,9813.0,11415.0,10556.0,11219.0,9901.0,10041.0,12673.0,13476.0,13976.0,12320.0,12338.0,11558.0,10073.0,10244.0,8526.0,9247.0,8110.0,8945.0,10599.0,11632.0,11848.0,11527.0,10660.0,11168.0,10060.0,10163.0,7972.0,9912.0,8052.0,9007.0,12121.0,12858.0,13031.0,14132.0,12958.0,11582.0,11337.0,11132.0,9348.0,11726.0,9292.0,10284.0,14268.0,14391.0,14666.0,15409.0,13528.0,14358.0,13212.0,12417.0,12365.0,12366.0,10524.0,10731.0,15677.0,14112.0,16247.0,15350.0,12085.0,13506.0,12165.0,12578.0,11739.0,12713.0
53.0,Tennessee,17,8692.0,9035.0,9601.0,9797.0,9777.0,9040.0,8217.0,7574.0,5605.0,6047.0,5326.0,5752.0,6773.0,7199.0,7385.0,8398.0,8964.0,8244.0,8124.0,8386.0,7669.0,7442.0,5469.0,5852.0,8183.0,8774.0,8658.0,9267.0,7236.0,7313.0,6801.0,6265.0,5913.0,5995.0,5032.0,5083.0,6141.0,6194.0,7088.0,7418.0,6995.0,7806.0,6992.0,6319.0,6224.0,6417.0,5717.0,6047.0,7371.0,7559.0,8480.0,8282.0,8316.0,8527.0,6749.0,7526.0,6571.0,7002.0,6313.0,6085.0,7282.0,8912.0,9270.0,9019.0,10080.0,9748.0,8477.0,8545.0,7386.0,7538.0,6571.0,6346.0,8023.0,8945.0,9462.0,10102.0,10746.0,9391.0,9608.0,9777.0,7811.0,8974.0,6635.0,6459.0,9424.0,9428.0,10184.0,12401.0,12239.0,11350.0,10995.0,10134.0,7383.0,9920.0,7203.0,8e3,9747.0,10152.0,11553.0,12608.0,10973.0,11609.0,10679.0,9880.0,9485.0,10201.0,7987.0,7863.0,11138.0,10287.0,12498.0,12684.0,11280.0,12280.0,10661.0,10790.0,9851.0,
32.0,Missouri,18,5360.0,6086.0,6656.0,6682.0,6955.0,6404.0,5889.0,5713.0,4287.0,4565.0,3451.0,3706.0,5039.0,5148.0,5395.0,6561.0,6797.0,6301.0,6084.0,6316.0,5937.0,5466.0,3473.0,3741.0,5713.0,6183.0,6539.0,7057.0,5099.0,4946.0,4734.0,4624.0,4314.0,4793.0,3716.0,3529.0,4736.0,4974.0,5440.0,6336.0,5278.0,6097.0,5288.0,4788.0,4561.0,4566.0,3877.0,3967.0,4932.0,5340.0,6135.0,6014.0,6061.0,6047.0,4662.0,5453.0,4702.0,5183.0,4715.0,4173.0,5398.0,6066.0,6530.0,6554.0,6963.0,6742.0,5820.0,5649.0,4693.0,5029.0,3949.0,3855.0,4826.0,5499.0,6056.0,6915.0,6610.0,6434.0,5830.0,6044.0,4563.0,5291.0,3915.0,4248.0,6067.0,6404.0,6787.0,8273.0,7947.0,7003.0,7305.0,6352.0,4886.0,6290.0,4862.0,5129.0,6837.0,7294.0,8113.0,9377.0,8128.0,8147.0,7436.0,7190.0,6470.0,6111.0,5279.0,4975.0,7589.0,7624.0,9204.0,9465.0,8555.0,9223.0,7806.0,7872.0,7099.0,
27.0,Maryland,19,6978.0,7558.0,7127.0,9214.0,5654.0,6441.0,6775.0,7203.0,5260.0,5701.0,3640.0,3889.0,6099.0,6013.0,5830.0,7992.0,4513.0,7033.0,5841.0,5701.0,5192.0,5745.0,5322.0,3580.0,5825.0,5032.0,6408.0,8133.0,3938.0,7275.0,5762.0,5294.0,4524.0,4837.0,4299.0,3670.0,6348.0,5813.0,6346.0,8230.0,4901.0,6355.0,5340.0,5268.0,4245.0,4369.0,4520.0,3917.0,4585.0,4507.0,6015.0,6740.0,4395.0,6310.0,4315.0,5450.0,5417.0,4994.0,5550.0,4233.0,4715.0,5892.0,6769.0,8175.0,5958.0,7723.0,6833.0,7003.0,5356.0,5344.0,5130.0,4400.0,5216.0,5913.0,5495.0,8739.0,6487.0,7434.0,6340.0,7144.0,5720.0,6647.0,5819.0,5190.0,6451.0,7455.0,7941.0,10769.0,8029.0,8662.0,7238.0,7616.0,5894.0,7766.0,6053.0,7075.0,7864.0,7785.0,10095.0,12922.0,8660.0,10168.0,9197.0,8545.0,9173.0,9282.0,8207.0,7822.0,9757.0,9692.0,11514.0,14177.0,8669.0,11987.0,10532.0,10585.0,11083.0,
60.0,Wisconsin,20,4495.0,5498.0,6092.0,6842.0,7129.0,6330.0,5923.0,5727.0,3879.0,3522.0,2982.0,2708.0,3699.0,4292.0,5014.0,6374.0,6976.0,6453.0,6159.0,6062.0,5603.0,4956.0,3321.0,3029.0,4748.0,5899.0,6650.0,8203.0,4799.0,4602.0,4445.0,4286.0,4098.0,3789.0,3614.0,2957.0,4002.0,4184.0,5014.0,5676.0,5228.0,5708.0,4894.0,4741.0,4388.0,4293.0,3800.0,3523.0,4508.0,5371.0,6636.0,6836.0,6343.0,6592.0,5253.0,6098.0,4713.0,5071.0,4788.0,3796.0,4619.0,5802.0,6598.0,7019.0,7747.0,7442.0,6256.0,6434.0,5378.0,4939.0,4364.0,3554.0,4845.0,5885.0,6946.0,8074.0,8669.0,7395.0,7065.0,8127.0,4933.0,5286.0,3844.0,3397.0,5396.0,6481.0,6423.0,9072.0,8541.0,7638.0,7233.0,6932.0,5306.0,5596.0,4289.0,4185.0,5575.0,6660.0,8765.0,10358.0,9111.0,9181.0,7805.0,7459.0,6393.0,5724.0,4839.0,3922.0,5964.0,6827.0,9104.0,10510.0,9403.0,9457.0,7883.0,8140.0,6802.0,
31.0,Minnesota,21,3804.0,4568.0,5325.0,6014.0,6131.0,5778.0,6113.0,5758.0,3951.0,4454.0,3219.0,2939.0,3840.0,4340.0,4653.0,5931.0,7110.0,6534.0,6520.0,6465.0,5906.0,5994.0,3541.0,3318.0,4546.0,5087.0,6007.0,7017.0,5644.0,4536.0,4345.0,4015.0,3942.0,4380.0,3765.0,3309.0,4538.0,4637.0,5139.0,5770.0,5727.0,6109.0,5047.0,5401.0,4900.0,5022.0,4248.0,4113.0,5173.0,4956.0,5742.0,6793.0,6756.0,7001.0,5945.0,6605.0,5478.0,5808.0,5075.0,3952.0,4913.0,5781.0,7040.0,7951.0,8686.0,9050.0,8005.0,7982.0,5966.0,6204.0,5029.0,3986.0,5170.0,6003.0,7247.0,8631.0,8583.0,8018.0,6585.0,7443.0,5844.0,6423.0,4612.0,4472.0,6267.0,7956.0,8775.0,10780.0,10179.0,9335.0,8086.0,7981.0,6312.0,6911.0,6073.0,5609.0,7054.0,7178.0,8940.0,11681.0,10461.0,11291.0,9695.0,8496.0,8062.0,7647.0,5825.0,4639.0,6345.0,7235.0,10882.0,13009.0,11647.0,12411.0,10423.0,10077.0,9312.0,
10.0,Colorado,22,6984.0,7643.0,8197.0,8813.0,9246.0,8039.0,7665.0,8264.0,5225.0,5479.0,4298.0,4486.0,5649.0,5699.0,6107.0,7721.0,7951.0,7121.0,6887.0,7041.0,6712.0,6002.0,4314.0,4329.0,6846.0,7144.0,7734.0,8397.0,6157.0,5811.0,5748.0,5319.0,5211.0,5658.0,4319.0,3832.0,5989.0,6093.0,6670.0,7471.0,6764.0,7324.0,6697.0,6398.0,5944.0,6156.0,4629.0,5033.0,6578.0,7053.0,8444.0,8659.0,8557.0,8885.0,7500.0,8356.0,7231.0,7202.0,5826.0,5837.0,7902.0,9110.0,10672.0,10547.0,11655.0,10778.0,8848.0,8938.0,6901.0,6812.0,5436.0,5446.0,7551.0,9093.0,10104.0,11147.0,12097.0,10524.0,10171.0,10028.0,7591.0,8565.0,5682.0,5793.0,8858.0,10016.0,10986.0,13351.0,13111.0,11518.0,11275.0,10681.0,7887.0,9845.0,6594.0,6662.0,9381.0,9906.0,11225.0,13139.0,11891.0,12451.0,11314.0,10794.0,10259.0,10244.0,7629.0,6905.0,9899.0,9755.0,12216.0,12883.0,11865.0,12174.0,10424.0,10871.0,9465.0,9658.0
4.0,Alabama,23,3421.0,3710.0,3709.0,3903.0,3931.0,3662.0,3487.0,3251.0,2279.0,2788.0,2011.0,2228.0,2994.0,2895.0,2580.0,3213.0,3445.0,3134.0,3164.0,3036.0,3004.0,3008.0,2029.0,2307.0,3361.0,3595.0,3821.0,4078.0,3329.0,3110.0,3046.0,2757.0,2500.0,2660.0,2186.0,2395.0,3190.0,2933.0,3428.0,3841.0,3809.0,4003.0,3224.0,3264.0,2557.0,2984.0,2603.0,2554.0,3400.0,3610.0,4134.0,3984.0,4087.0,3802.0,3936.0,4165.0,3692.0,3651.0,3194.0,3339.0,3976.0,4445.0,4799.0,4523.0,5023.0,4936.0,4216.0,4546.0,3835.0,3975.0,3083.0,3561.0,4210.0,4837.0,4816.0,5234.0,5234.0,5106.0,4887.0,4540.0,3250.0,3709.0,2738.0,3370.0,4830.0,4967.0,5088.0,5954.0,5665.0,5095.0,5252.0,4516.0,3797.0,4749.0,3507.0,4074.0,5237.0,5021.0,5728.0,6226.0,5114.0,5462.0,5307.0,4722.0,4656.0,4799.0,4145.0,4184.0,5746.0,5502.0,6089.0,6212.0,5788.0,6381.0,5405.0,5392.0,4536.0,
51.0,South Carolina,24,6144.0,6654.0,6393.0,6694.0,6871.0,6089.0,5678.0,5503.0,3849.0,4933.0,3675.0,3620.0,4980.0,4503.0,4656.0,5646.0,5570.0,5323.0,5116.0,5359.0,5239.0,5832.0,3734.0,4273.0,5515.0,5956.0,5532.0,6498.0,5183.0,5075.0,4511.0,4692.0,4377.0,5283.0,3787.0,4146.0,5435.0,4925.0,5322.0,5770.0,5161.0,5421.0,4836.0,4703.0,4430.0,5188.0,4246.0,4598.0,5443.0,5394.0,5825.0,5903.0,5794.0,6413.0,5107.0,5903.0,5256.0,5646.0,4829.0,4908.0,5906.0,6639.0,7485.0,6925.0,7729.0,7721.0,6580.0,6959.0,5986.0,6400.0,5115.0,4798.0,6166.0,6237.0,6804.0,7312.0,7032.0,6474.0,6449.0,6225.0,5288.0,6276.0,5170.0,5277.0,7786.0,7107.0,7267.0,8441.0,8132.0,7028.0,6568.0,6063.0,4986.0,5799.0,4817.0,5152.0,7117.0,6571.0,7698.0,8281.0,7247.0,7413.0,7103.0,6596.0,6602.0,6973.0,6494.0,6767.0,9273.0,8165.0,8613.0,10050.0,9106.0,9899.0,8335.0,8657.0,8134.0,
25.0,Louisiana,25,2761.0,3095.0,4223.0,3839.0,3673.0,3178.0,2273.0,2627.0,1967.0,2238.0,1931.0,2041.0,2431.0,2496.0,2646.0,3316.0,3313.0,2968.0,2898.0,2915.0,2668.0,2509.0,1901.0,1874.0,2736.0,3162.0,3295.0,3360.0,2830.0,2772.0,2532.0,2322.0,2079.0,2325.0,2026.0,1894.0,2818.0,2735.0,3042.0,3862.0,3054.0,3114.0,2736.0,2471.0,2217.0,2024.0,2140.0,2016.0,2737.0,2925.0,3723.0,3697.0,3100.0,2829.0,2901.0,2868.0,2452.0,2323.0,2306.0,2102.0,3035.0,3440.0,3927.0,4621.0,3925.0,3876.0,3413.0,3440.0,2961.0,3071.0,2667.0,2849.0,3173.0,3697.0,4046.0,5157.0,4382.0,3663.0,3421.0,3605.0,3058.0,3150.0,2643.0,2531.0,3567.0,3285.0,3577.0,3630.0,4220.0,3941.0,3496.0,3104.0,2491.0,2880.0,2599.0,2635.0,3402.0,3311.0,3888.0,4256.0,3694.0,3712.0,3236.0,3178.0,3172.0,3014.0,2980.0,2777.0,3927.0,3413.0,4214.0,4326.0,4102.0,3957.0,3547.0,3195.0,2723.0,
24.0,Kentucky,26,2871.0,3239.0,3455.0,3645.0,3868.0,3428.0,3426.0,3271.0,2159.0,2610.0,1913.0,2200.0,2779.0,3021.0,3051.0,4119.0,4083.0,3721.0,3846.0,3824.0,3440.0,3435.0,2458.0,2492.0,3550.0,3707.0,4172.0,4583.0,3550.0,3177.0,3092.0,2676.0,2557.0,2803.0,2481.0,2383.0,2950.0,2905.0,3e3,3374.0,3118.0,3407.0,3090.0,2695.0,2746.0,2852.0,2415.0,2417.0,2984.0,3143.0,3630.0,2942.0,3434.0,2831.0,3058.0,3452.0,3078.0,3168.0,2851.0,2596.0,3295.0,3905.0,4488.0,4442.0,4989.0,4545.0,3865.0,4009.0,3273.0,3138.0,2786.0,2530.0,3066.0,3648.0,3852.0,3914.0,3972.0,3711.0,3237.0,3330.0,2553.0,2703.0,2170.0,2131.0,3e3,3413.0,3619.0,4561.0,4620.0,4314.0,4170.0,3343.0,2351.0,2386.0,2656.0,2670.0,3379.0,3786.0,4537.0,4940.0,4345.0,4898.0,4125.0,3916.0,3991.0,3780.0,3254.0,3057.0,4309.0,3984.0,4976.0,5270.0,4745.0,5532.0,4687.0,4482.0,4172.0,
46.0,Oregon,27,3426.0,3462.0,3792.0,3873.0,3805.0,3589.0,3476.0,3261.0,2325.0,2325.0,1780.0,2015.0,2695.0,2824.0,3044.0,3906.0,4184.0,3829.0,3926.0,4290.0,3760.0,3436.0,2359.0,2454.0,3796.0,4125.0,4172.0,4273.0,3150.0,3223.0,3332.0,3063.0,2920.0,3251.0,2473.0,2436.0,3400.0,3186.0,3432.0,3829.0,3404.0,3641.0,3292.0,3086.0,2976.0,3156.0,2531.0,2732.0,3357.0,3539.0,4135.0,4294.0,3998.0,4424.0,3772.0,4129.0,3461.0,3538.0,2787.0,2946.0,3919.0,4123.0,5086.0,5041.0,4955.0,5300.0,4380.0,4432.0,3587.0,2614.0,3147.0,3147.0,3917.0,4549.0,5236.0,5575.0,5741.0,5343.0,5193.0,5429.0,4191.0,4421.0,3483.0,3749.0,5211.0,6077.0,6317.0,7567.0,7623.0,6928.0,6902.0,6352.0,5074.0,5769.0,4426.0,4445.0,6038.0,6125.0,6952.0,7696.0,6737.0,7429.0,6877.0,6430.0,6092.0,6141.0,4870.0,4462.0,5876.0,5587.0,6895.0,7702.0,6863.0,7530.0,6574.0,6482.0,5610.0,5451.0
45.0,Oklahoma,28,3027.0,3542.0,3624.0,3741.0,4216.0,3598.0,3620.0,3666.0,2514.0,2836.0,1976.0,2288.0,2985.0,3110.0,3134.0,3705.0,3965.0,3419.0,3186.0,2941.0,3096.0,2920.0,1818.0,1991.0,3002.0,3565.0,3618.0,3657.0,2769.0,2713.0,2599.0,2379.0,2278.0,2502.0,2128.0,1934.0,2792.0,2767.0,2950.0,3709.0,3042.0,3416.0,2871.0,2802.0,2817.0,2765.0,2551.0,2717.0,3150.0,3403.0,3976.0,4307.0,4085.0,3984.0,3224.0,3144.0,2949.0,3421.0,2817.0,2663.0,3559.0,4170.0,4174.0,4739.0,4759.0,4656.0,4049.0,3305.0,2617.0,2725.0,2410.0,2357.0,3249.0,3194.0,3810.0,4272.0,4060.0,3872.0,3351.0,3498.0,2719.0,3887.0,2719.0,2787.0,4068.0,3913.0,4120.0,4558.0,4447.0,3887.0,3093.0,2488.0,1901.0,2281.0,3256.0,3340.0,4332.0,3896.0,4681.0,4721.0,4495.0,5216.0,4258.0,3851.0,3408.0,3600.0,3130.0,3140.0,4681.0,4312.0,5353.0,5582.0,4873.0,5809.0,4630.0,4138.0,4346.0,
11.0,Connecticut,29,2245.0,2325.0,2761.0,3291.0,3261.0,2873.0,2489.0,2450.0,1863.0,1813.0,1190.0,1145.0,1585.0,1661.0,2041.0,2836.0,3246.0,3049.0,2623.0,2791.0,3062.0,2552.0,1566.0,1507.0,2345.0,2483.0,2893.0,3975.0,2503.0,2452.0,2047.0,1561.0,1859.0,2007.0,1490.0,1290.0,1805.0,1761.0,2264.0,2933.0,2273.0,2152.0,1904.0,1862.0,1431.0,1681.0,982.0,1051.0,1800.0,1405.0,2134.0,2793.0,2973.0,2915.0,1737.0,2332.0,2193.0,2434.0,1767.0,1188.0,1933.0,2500.0,2929.0,3236.0,3779.0,3479.0,2791.0,2755.0,2451.0,2589.0,1795.0,1532.0,2022.0,2270.0,2564.0,3459.0,3745.0,3286.0,2993.0,3097.0,2512.0,2941.0,1910.0,1874.0,2434.0,2664.0,3082.0,4244.0,4544.0,4086.0,3710.0,2733.0,2733.0,3275.0,2207.0,1853.0,2699.0,2914.0,3579.0,4313.0,2996.0,4548.0,3428.0,3456.0,2554.0,3342.0,2704.0,2206.0,2807.0,3005.0,3999.0,4704.0,4325.0,4552.0,3515.0,3673.0,3156.0,
